,eva_nr,name,category,state,city,zipcode,street,long,lat
0,8000001,Aachen Hbf,2,Nordrhein-Westfalen,Aachen,52064,Bahnhofstr.  2a,6.091499,50.7678
1,8000406,Aachen-Rothe Erde,4,Nordrhein-Westfalen,Aachen,52066,Beverstr. 48,6.116475,50.770202
2,8000404,Aachen West,5,Nordrhein-Westfalen,Aachen,52072,Republikplatz 1,6.070715,50.78036
3,8000002,Aalen Hbf,3,Baden-Württemberg,Aalen,73430,Am Bahnhof 1,10.096271,48.841013
4,8000410,Abensberg,6,Bayern,Abensberg,93326,Bahnhofstr. 27,11.84662,48.819456
5,8000412,Achern,4,Baden-Württemberg,Achern,77855,Eisenbahnstr. 40,8.065324,48.63399
6,8000413,Achim,4,Niedersachsen,Achim,28832,Zum Achimer Bahnhof 1a,9.030447,53.01599
7,8000414,Achmer,6,Niedersachsen,Bramsche-Achmer,49565,Langestraße 7,7.94216,52.390479
8,8000418,Adelebsen,6,Niedersachsen,Adelebsen,37139,Bahnhofstr. 27,9.760044,51.57769
9,8000419,Adelschlag,6,Bayern,Adelschlag,85111,Bahnhofstrasse 45,11.211443,48.840759
10,8000420,Adelsdorf (Mittelfr),6,Bayern,Neuhof a.d.Zenn,90616,Adelsdorf - St 2413,10.687041,49.474944
11,8000423,Adelsheim Nord,6,Baden-Württemberg,Osterburken,74706,Osterburkener Str. 40,9.392754,49.42149
12,8000424,Adelsheim Ost,6,Baden-Württemberg,Adelsheim,74740,Am Bahnhof 2,9.395127,49.403123
13,8010001,Adorf (Vogtl),6,Sachsen,Adorf,08626,Bahnhofstr. 5,12.2606778,50.3243953
14,8000431,Affaltrach,6,Baden-Württemberg,Obersulm,74182,Johanniterstraße 18,9.379012,49.137832
15,8000433,Agatharied,6,Bayern,Hausham,83734,Fehnbachstrasse 3,11.824472,47.765606
16,8000434,Agathenburg,6,Niedersachsen,Agathenburg,21684,Bahnhofstr. 7 ,9.531244,53.564111
17,8000436,Aha,6,Baden-Württemberg,Schluchsee,79859,Vorderaha 3,8.134349,47.833224
18,8000437,Ahaus,5,Nordrhein-Westfalen,Ahaus,48683,Parallelstr. 1,7.016453,52.081681
19,8000441,Ahlen (Westf),4,Nordrhein-Westfalen,Ahlen ,59227,Bahnhofstr. 1b,7.895488,51.761062
20,8000442,Ahlhorn,6,Niedersachsen,Ahlhorn,26197,Am Bahnhof 1,8.209429,52.899321
21,8000443,Ahlten (Han),5,Niedersachsen,Lehrte,31275,Misburger Weg 1,9.904613,52.376062
