,stationID,stationCategory,names,state,city,postalCode,street,position_long,position_lat
0,1,CATEGORY_2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,Bahnhofstr.,6.091499,50.7678
1,1000,CATEGORY_7,Burkhardswalde-Maxen,Sachsen,Müglitztal-Burkhardswalde,01809,Gesundbrunnen,13.8383692,50.9251456
2,1001,CATEGORY_6,Burkhardtsdorf,Sachsen,Burkhardtsdorf,09235,Bahnhofstraße,,
3,1002,CATEGORY_6,Bürstadt,Hessen,Bürstadt,68642,Bahnhofsallee,8.458188,49.645769
4,1005,CATEGORY_6,Buschow,Brandenburg,Märkisch Luch OT Buschow,14715,Bahnhofstr.,12.628996,52.592203
5,1006,CATEGORY_7,Büsenbachtal,Niedersachsen,Handeloh-Wörme,21256,Am Büsenbach,9.858592,53.269595
6,1008,CATEGORY_6,Büsum,Schleswig-Holstein,Büsum,25761,Heider Str.,8.867113,54.133822
7,1009,CATEGORY_6,Buttenheim,Bayern,Altendorf,96146,Am Bahnhof,11.0137296,49.7993973
8,1011,CATEGORY_6,Büttgen,Nordrhein-Westfalen,Kaarst,41564,Driescher Birkhofstraße,6.605785,51.197208
9,1012,CATEGORY_7,Buttstädt,Thüringen,Buttstädt,99628,Am Bahnhof,11.418412,51.126995
10,1013,CATEGORY_4,Butzbach,Hessen,Butzbach,35510,Bahnhofstr.,8.669517,50.431156
11,1014,CATEGORY_4,Bützow,Mecklenburg-Vorpommern,Bützow,18246,Bahnhofstr.,11.9981942,53.8371137
12,1015,CATEGORY_3,Buxtehude,Niedersachsen,Buxtehude,21614,Am Bundesbahnhof,9.688314,53.470491
13,1016,CATEGORY_6,Cadenberge,Niedersachsen,Cadenberge,21781,Bahnhofstr.,9.058163,53.768071
14,1017,CATEGORY_6,Cadolzburg,Bayern,Cadolzburg,90556,Bahnhofsplatz,10.863611,49.460649
15,1018,CATEGORY_6,Cainsdorf,Sachsen,Zwickau,08064,Am Hammerwald,,
16,1019,CATEGORY_4,Calau (Niederlausitz),Brandenburg,Calau ,03205,Bahnhofstr.,13.97982,51.738118
17,102,CATEGORY_6,Altenhasungen,Hessen,Wolfhagen,34466,Hardtstraße,,
18,1020,CATEGORY_5,Calbe (Saale) Ost,Sachsen-Anhalt,Calbe (Saale),39240,Am Klärwerk,11.810527,51.920693
19,1021,CATEGORY_7,Calbe (Saale) West,Sachsen-Anhalt,Calbe (Saale),39240,Bahnhofstr.,11.758783,51.905693
20,1022,CATEGORY_6,Calberlah,Niedersachsen,Calberlah,38547,Bahnhofstr.,10.624914,52.427559
21,1023,CATEGORY_6,Caldern,Hessen,Lahntal,35094,Zum Wollenberg,,
22,1025,CATEGORY_6,Calw,Baden-Württemberg,Calw,75365,Bischofstr.,8.741854,48.714682
23,1026,CATEGORY_6,Camburg (Saale),Thüringen,Camburg (Saale),07774,Bahnhofstr.,11.70468,51.050857
24,1027,CATEGORY_6,Cammin (Meckl),Mecklenburg-Vorpommern,Cammin (Meckl),17094,Am Bahnhof,13.299645,53.439035
25,1028,CATEGORY_6,Capelle (Westf),Nordrhein-Westfalen,Nordkirchen-Capelle,59394,Am Bahnhof,7.61108,51.735268
26,1029,CATEGORY_6,Caputh-Geltow,Brandenburg,Schwielowsee OT Caputh,14548,Am Bahnhof,12.984406,52.350295
27,1032,CATEGORY_6,Casekow,Brandenburg,Casekow,16306,Bahnhofstraße,14.208187,53.213614
28,1033,CATEGORY_3,Castrop-Rauxel Hbf,Nordrhein-Westfalen,Castrop-Rauxel,44579,Berliner Platz,7.30398,51.573526
29,1034,CATEGORY_6,Castrop-Rauxel Süd,Nordrhein-Westfalen,Castrop-Rauxel,44575,Münsterplatz,7.310186,51.5503
30,1035,CATEGORY_6,Castrop-Rauxel-Merklinde,Nordrhein-Westfalen,Castrop-Rauxel,44579,Hellweg,7.324314,51.527932
31,1036,CATEGORY_3,Celle Pbf,Niedersachsen,Celle,29221,Bahnhofsplatz,10.062468,52.6204548
32,1037,CATEGORY_4,Cham (Oberpf),Bayern,Cham ,93413,Bahnhofstr.,12.656832,49.221869
33,1038,CATEGORY_7,Chamerau,Bayern,Chamerau,93466,Bahnhofstr.,12.745258,49.196718
34,104,CATEGORY_4,Lennestadt-Altenhundem,Nordrhein-Westfalen,Lennestadt,57368,Hundemstr.,8.071517,51.104132
35,1040,CATEGORY_2,Chemnitz Hbf,Sachsen,Chemnitz ,09111,Bahnhofstr.,12.930877,50.839696
36,1041,CATEGORY_6,Chemnitz Kinderwaldstätte,Sachsen,Chemnitz,09114,Rennsteig,12.953568,50.884211
37,1042,CATEGORY_6,Chemnitz Mitte,Sachsen,Chemnitz ,09111,Reichstraße,12.912587,50.826628
38,1044,CATEGORY_5,Chemnitz Süd,Sachsen,Chemnitz ,09111,Reichenhainer Str.,12.9261875,50.8237663
39,1046,CATEGORY_6,Chemnitz-Borna Hp,Sachsen,Chemnitz ,09113,Sandstr.,12.894459,50.859867
40,1047,CATEGORY_6,Chemnitz-Erfenschlag Mitte,Sachsen,Chemnitz,09125,Paul-Franke-Straße,,
41,105,CATEGORY_6,Altenkirchen (Westerw),Rheinland-Pfalz,Altenkirchen ,57610,Bahnhofstr.,7.638257,50.684418
42,1050,CATEGORY_6,Chemnitz-Hilbersdorf Hp,Sachsen,Chemnitz ,09131,Ebersdorfer Str.,12.953879,50.861934
43,1051,CATEGORY_6,Chemnitz-Reichenhain,Sachsen,Chemnitz,09125,Erfenschlager Straße,,
44,1052,CATEGORY_6,Chemnitz-Schönau,Sachsen,Chemnitz ,09117,Zwickauer Str.,12.8765,50.818095
45,1053,CATEGORY_6,Chemnitz-Siegmar,Sachsen,Chemnitz ,09117,Am Siegmaer Bahnhof,12.84251,50.815561
46,1055,CATEGORY_6,Chorin,Brandenburg,Chorin,16230,Bahnhofstraße,13.869714,52.90354
47,1056,CATEGORY_7,Clarholz,Nordrhein-Westfalen,Clarholz,33442,Am Halloh,8.200835,51.898454
48,1057,CATEGORY_7,Clausnitz,Sachsen,Rechenberg-Bienenmühle,09623,Am Haltepunkt,13.4986,50.755842
49,1058,CATEGORY_6,Cloppenburg,Niedersachsen,Cloppenburg,49661,Bahnhofstr.,8.055763,52.843996
50,1059,CATEGORY_3,Coburg,Bayern,Coburg,96450,Lossaustr.,10.9573281,50.2629273
51,106,CATEGORY_6,Altenmarkt (Alz),Bayern,Altenmarkt a.d. Alz,83352,Margaretenstraße,,
52,1060,CATEGORY_7,Coburg-Neuses,Bayern,Coburg-Neuses,96450,Friedrich-Ludwig-Jahn-Straße,10.951277,50.2780001
53,1061,CATEGORY_4,Cochem (Mosel),Rheinland-Pfalz,Cochem ,56812,Ravenéstr.,7.166738,50.153092
54,1062,CATEGORY_4,Coesfeld (Westf),Nordrhein-Westfalen,Coesfeld,48653,Bahnhofstr.,7.16368675,51.9398071
55,1063,CATEGORY_5,Cölbe,Hessen,Cölbe,35091,Kasseler Str.,8.787365,50.848159
56,1068,CATEGORY_7,Contwig,Rheinland-Pfalz,Contwig,66497,Bahnhofstr.,7.427916,49.24528
57,1069,CATEGORY_7,Coppenbrügge,Niedersachsen,Coppenbrügge,31863,Bahnhofstr.,9.537588,52.119521
58,1070,CATEGORY_5,Leipzig Coppiplatz,Sachsen,Leipzig,04157,Coppiplatz,12.366024,51.367074
