FID,geom,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00
2019-01_DB-Netz-MRN_4326.1,"MULTILINESTRING ((7.906427815330511 49.44433004732373, 7.908346 49.444533, 7.90835 49.444534))",xka_mrk_830,3280,0,2300,105220000,105450000,"52,2 + 0","54,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.2,"MULTILINESTRING ((7.90835 49.444534, 7.909027 49.444604, 7.909711 49.444659, 7.910399 49.444689, 7.911088 49.444693, 7.911776 49.444667, 7.912461 49.444612, 7.913138 49.444528, 7.913809 49.444425, 7.91648 49.443978, 7.917428 49.443818, 7.917815 49.443753, 7.920486 49.443305, 7.921821 49.443081, 7.922485 49.442959, 7.923143 49.442827, 7.923794 49.442679, 7.924438 49.442518, 7.925073 49.442344, 7.9257 49.442156, 7.926316 49.441955, 7.926923 49.441741, 7.927517 49.441513, 7.928102 49.441276, 7.930407 49.440289, 7.932729 49.439292, 7.933887 49.438796, 7.934465 49.438551, 7.935056 49.43832, 7.93567 49.438115, 7.936304 49.437941, 7.936961 49.437805, 7.937634 49.437709, 7.938319 49.437656, 7.939007 49.437648, 7.939693 49.437688, 7.94037 49.437772, 7.941031 49.437897, 7.941682 49.438047, 7.942971 49.438365, 7.943628 49.438504, 7.944295 49.438614, 7.944977 49.438679, 7.945665 49.438701, 7.946353 49.438676, 7.947034 49.43861, 7.947703 49.438502, 7.948361 49.438367, 7.950973 49.437791, 7.952279 49.437503, 7.952936 49.437367, 7.953601 49.437249, 7.954278 49.437165, 7.954962 49.437112, 7.955651 49.437093, 7.95634 49.437107, 7.957025 49.437153, 7.957704 49.437231, 7.958373 49.43734, 7.959027 49.437481, 7.959662 49.437655, 7.960283 49.43785, 7.962735 49.438672, 7.963369 49.438849, 7.964018 49.438999, 7.964685 49.439113, 7.965365 49.439187, 7.966052 49.439221, 7.966741 49.439215, 7.967425 49.439166, 7.968107 49.439095, 7.969467 49.43895, 7.969645 49.438938, 7.969824 49.438927, 7.970334 49.43891, 7.970843 49.438909, 7.972216 49.438993, 7.973588 49.439069, 7.974961 49.439, 7.975633 49.438902, 7.976289 49.438764, 7.976923 49.438588, 7.977529 49.438373, 7.978104 49.438126, 7.978636 49.437845))",xka_mrk_830,3280,0,5402,105450000,105990000,"54,5 + 0","59,9 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.3,"MULTILINESTRING ((7.978636 49.437845, 7.97864 49.437843, 7.979131 49.437528, 7.979571 49.437182, 7.979957 49.43681, 7.980283 49.436414, 7.980548 49.435999, 7.980746 49.435569, 7.980878 49.435128, 7.98094 49.43468, 7.980934 49.434231, 7.980858 49.433784, 7.980709 49.433346, 7.980508 49.432916, 7.980016 49.432076, 7.979844 49.431641, 7.979743 49.431197, 7.979745 49.430749, 7.979809 49.430302))",xka_mrk_830,3280,0,900,105990000,106080000,"59,9 + 0","60,8 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.4,"MULTILINESTRING ((7.979809 49.430302, 7.979809 49.430301, 7.979963 49.429407, 7.980178 49.428519, 7.980402 49.427175, 7.980914 49.425871, 7.981196 49.425464, 7.981541 49.425072, 7.981947 49.424709, 7.982398 49.42437, 7.983373 49.423735, 7.984405 49.423138, 7.986423 49.421913, 7.98844 49.420688, 7.990458 49.419462, 7.991447 49.418836, 7.991952 49.41853, 7.992482 49.418244, 7.993052 49.417991, 7.993657 49.417778, 7.9943 49.417618, 7.994965 49.4175, 7.996323 49.417349, 7.996998 49.417254, 7.997659 49.41713, 7.998297 49.416961, 7.998901 49.416746, 7.999457 49.416481, 7.99997 49.416186))",xka_mrk_830,3280,0,2300,106080000,106310000,"60,8 + 0","63,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.5,"MULTILINESTRING ((7.99997 49.416186, 7.999973 49.416184, 8.000966 49.415561, 8.001923 49.414913, 8.002897 49.414277, 8.00387 49.413641, 8.004868 49.413021, 8.006801 49.41176, 8.008747 49.410487, 8.009238 49.410172, 8.009719 49.40985, 8.010191 49.409522, 8.010628 49.409175, 8.011003 49.408799, 8.011324 49.408401, 8.011582 49.407985, 8.011806 49.40756, 8.012016 49.407131, 8.012233 49.406705, 8.012487 49.406287, 8.012779 49.40588, 8.013123 49.405491, 8.013507 49.405118, 8.01393 49.404763, 8.014375 49.40442, 8.016156 49.403048, 8.017937 49.401676, 8.019718 49.400304, 8.020588 49.399606, 8.021517 49.398942, 8.022024 49.398638, 8.022548 49.398347, 8.023643 49.397802, 8.024768 49.397283, 8.026991 49.396221, 8.027553 49.39596, 8.028101 49.395688, 8.028108 49.395684))",xka_mrk_830,3280,0,3099,106310000,106620000,"63,1 + 0","66,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.6,"MULTILINESTRING ((8.028108 49.395684, 8.028624 49.395395, 8.029119 49.395084, 8.030791 49.393657, 8.031289 49.393349, 8.031833 49.393072, 8.03242 49.392837, 8.033043 49.392646, 8.033695 49.392499, 8.034363 49.392394, 8.037105 49.392236, 8.037777 49.392141, 8.038434 49.392007, 8.038448 49.392003))",xka_mrk_830,3280,0,900,106620000,106710000,"66,2 + 0","67,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.7,"MULTILINESTRING ((8.038448 49.392003, 8.039065 49.391827, 8.039664 49.391605, 8.04022 49.391341, 8.040746 49.39105, 8.041783 49.390459, 8.042778 49.389837, 8.043273 49.389524, 8.043734 49.389191, 8.044138 49.388827, 8.044484 49.388438, 8.044768 49.388029, 8.044986 49.387603, 8.045131 49.387164, 8.045221 49.386718, 8.045285 49.38582, 8.045344 49.385372, 8.045447 49.384928, 8.045626 49.384494, 8.045871 49.384075, 8.046186 49.383675, 8.04655 49.383294, 8.047362 49.382568, 8.04824 49.381874, 8.049945 49.380462, 8.05165 49.37905, 8.053356 49.377638, 8.053782 49.377285, 8.054233 49.376945, 8.054723 49.37663, 8.055249 49.37634, 8.055813 49.376083, 8.056405 49.375854, 8.057019 49.375652, 8.057647 49.375465, 8.058273 49.375279, 8.058909 49.375106, 8.059558 49.374956, 8.06021 49.374818, 8.061071 49.374688, 8.061771 49.374598, 8.064261 49.374279, 8.066962 49.373927, 8.06967 49.373602, 8.071024 49.37344, 8.071702 49.373361, 8.072383 49.373296, 8.073069 49.373261, 8.073757 49.373248, 8.074445 49.373256, 8.075133 49.373279, 8.075821 49.373304, 8.076507 49.373341, 8.07719 49.373392, 8.077872 49.373457, 8.078549 49.373538, 8.079223 49.373628, 8.081905 49.374036, 8.084586 49.374447, 8.085258 49.374545, 8.085937 49.37462, 8.086623 49.374658, 8.087311 49.374655, 8.087995 49.374606, 8.088668 49.374511, 8.089323 49.374374, 8.089953 49.374194, 8.090554 49.373974, 8.091117 49.373716, 8.091634 49.373419, 8.092112 49.373096, 8.093811 49.371682, 8.094287 49.371358, 8.094795 49.371054, 8.095336 49.370777, 8.095908 49.370527, 8.096511 49.37031, 8.097133 49.370118, 8.097766 49.36994, 8.098406 49.369776, 8.100983 49.369143, 8.102285 49.36885, 8.102594 49.368775))",xka_mrk_830,3280,0,5924,106710000,107300024,"67,1 + 0","73,0 + 24",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.8,"MULTILINESTRING ((8.102594 49.368775, 8.103577 49.368538, 8.10422 49.368377, 8.10484 49.368183, 8.105419 49.36794, 8.105948 49.367653, 8.106418 49.367325, 8.106817 49.366959, 8.107146 49.366565, 8.107393 49.366145, 8.10756 49.365709, 8.107639 49.365263, 8.107626 49.364815, 8.107541 49.364368, 8.1074 49.363929, 8.107223 49.363494, 8.106532 49.361753, 8.106379 49.361315, 8.10626 49.360872, 8.106189 49.360425, 8.106173 49.359976, 8.106216 49.359527, 8.106332 49.359085, 8.106531 49.358655, 8.106809 49.358244, 8.107158 49.357856, 8.107577 49.3575, 8.108056 49.357178, 8.108592 49.356896, 8.109178 49.356659, 8.109797 49.356466, 8.112448 49.355989, 8.113081 49.355814, 8.113688 49.355603, 8.114257 49.355351, 8.114783 49.355061, 8.115259 49.354737, 8.115688 49.354385, 8.116061 49.354008, 8.116419 49.353624, 8.116795 49.353246, 8.117209 49.352889, 8.117691 49.352568, 8.118228 49.352288, 8.118817 49.352055, 8.119435 49.351859, 8.119437 49.351858))",xka_mrk_830,3280,0,2576,107300024,107560000,"73,0 + 24","75,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,
2019-01_DB-Netz-MRN_4326.9,"MULTILINESTRING ((8.119437 49.351858, 8.120693 49.351494, 8.121984 49.351181, 8.122634 49.351033, 8.123292 49.350903, 8.123962 49.350799, 8.124637 49.350714, 8.125998 49.35058, 8.127366 49.350477, 8.130098 49.350259, 8.132829 49.350036, 8.13348 49.34998))",xka_mrk_830,3280,0,1048,107560000,107660048,"75,6 + 0",76.6 +    48,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,,Fehll�nge ankommend
2019-01_DB-Netz-MRN_4326.10,"MULTILINESTRING ((8.13348 49.34998, 8.133494 49.349979))",xka_mrk_830,3280,0,0,107660048,107670000,76.6 +    48,76.7 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Homburg - Ludwigshafen,zweigleisig,Hauptbahn,Fehll�nge ankommend,Fehll�nge abgehend
