,state,departure_delay_m,departure_plan,departure_delay_check,delay_m/departure,delay_m/delay_cnt,delay_cnt/departure
0,Baden-Württemberg,397284,193682,20075,2.051217975857333,19.789987546699876,10.364928077983498
1,Bayern,478145,240651,18750,1.986881417488396,25.501066666666667,7.791365919942157
2,Berlin,143860,244321,5652,0.5888155336626815,25.45293701344657,2.313350059962099
3,Brandenburg,43639,42664,1897,1.0228529908119257,23.004217185028992,4.446371648228014
4,Bremen,6617,7634,243,0.8667801938695311,27.23045267489712,3.1831281110820018
5,Hamburg,62148,109360,2356,0.5682882223847842,26.3786078098472,2.1543525969275787
6,Hessen,273990,148112,13202,1.8498838716646862,20.753673685805182,8.913524900075618
7,Mecklenburg-Vorpommern,14727,16787,412,0.8772859951152677,35.74514563106796,2.4542800976946446
8,Niedersachsen,119029,62116,5776,1.9162373623543048,20.60751385041551,9.298731405756971
9,Nordrhein-Westfalen,666321,255610,32599,2.6067876843628968,20.43992146998374,12.753413403231487
10,Rheinland-Pfalz,149741,57535,7426,2.6026071087164335,20.16442230002693,12.906926218823326
11,Saarland,12468,12953,585,0.9625569366169999,21.31282051282051,4.51632826372269
12,Sachsen,59936,61689,2178,0.9715832644393652,27.518824609733702,3.530613237368088
13,Sachsen-Anhalt,33876,23246,1581,1.457282973414781,21.426944971537,6.801170093779575
14,Schleswig-Holstein,36199,25988,1817,1.3929121132830538,19.922399559713813,6.991688471602278
15,Thüringen,19669,15954,803,1.232856963770841,24.49439601494396,5.03322050896327
