"EVA_NR";"DS100";"IFOPT";"db_name";"traffic";"operator_name";"operator_nr";"status";"distance";"formatted";"lat";"lon";"housenumber";"name";"street";"postcode";"district";"suburb";"county";"state";"state_code";"city";"country";"country_code";"attribution";"attribution_license";"attribution_url"
8002551;"AELB";"de:02000:11943";"Hamburg Elbbrücken";"RV";"DB Station und Service AG";;"neu";1.8856038526558858;"Elbbrücken, Freihafenelbbrücke, 20457 Hamburg, Germany";53.53483815;10.02468211092041;;"Elbbrücken";"Freihafenelbbrücke";20457;"Hamburg-Mitte";"HafenCity";;;;"Hamburg";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8001944;"TETN";;"Eutingen Nord";"RV";"DB Station und Service AG";;"neu";5.605502032267216;"Eutingen Nord, K 4715, 72184 Göttelfingen, Germany";48.48477055;8.753022218944075;;"Eutingen Nord";"K 4715";72184;"Horb am Neckar";;"Landkreis Freudenstadt";"Baden-Württemberg";"BW";"Göttelfingen";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8003074;"MIA";;"Ingolstadt Audi";"RV";"DB Station und Service AG";;"neu";12.416024252338556;"Bahnhof Ingolstadt Audi, Weststraße, 85057 Ingolstadt, Germany";48.7904357;11.408093390100095;;"Bahnhof Ingolstadt Audi";"Weststraße";85057;"Nordwest";"Audi AG";"Pfaffenhofen an der Ilm";"Bavaria";;"Ingolstadt";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8001723;"HEBA";;"Einbeck Otto-Hahn-Straße";"RV";"Ilmebahn GmbH";;"neu";70.81814022102819;"Grimsehlstraße 39, 37574 Einbeck, Germany";51.814022;9.892191;"39";;"Grimsehlstraße";37574;"Einbeck";;"Northeim";"Lower Saxony";;"Einbeck";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8004371;"KRO";;"Nörvenich-Rommelsheim";"nur DPN";"Rurtalbahn GmbH";;"neu";109.13706146313359;"Gertrudisstraße 4, 52388 Nörvenich, Germany";50.783229;6.54869;"4";;"Gertrudisstraße";52388;"Nörvenich";;"Düren";"North Rhine-Westphalia";;"Nörvenich";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8010340;"DSTR";;"Straßgräbchen-Bernsdorf";"nur DPN";;;"neu";61.36172499372667;"Dresdener Straße 27, 02994 Bernsdorf, Germany";51.361887;14.052624;"27";;"Dresdener Straße";2994;"Bernsdorf";;"Bautzen";"Saxony";;"Bernsdorf";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8001510;"TDSA";"de:08237:8009:2";"Dornstetten-Aach";"RV";"DB Station und Service AG";;"neu";28.511894947678865;"Auf dem Berg 1, 72280 Dornstetten, Germany";48.47359865;8.48266665;"1";;"Auf dem Berg";72280;"Dornstetten";"Hallwangen";"Landkreis Freudenstadt";"Baden-Württemberg";"BW";"Dornstetten";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8001966;"MFOL";"de:09187:90183";"Feldolling";"nur DPN";"DB Station und Service AG";;"neu";2.5372004979156912;"52204, Aiblinger Straße, 83620 Feldkirchen-Westerham, Germany";47.8953443;11.8522757;;"52204";"Aiblinger Straße";83620;;;"Landkreis Rosenheim";"Bavaria";;"Feldkirchen-Westerham";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
8002060;"FFGG";"de:06412:11500";"Frankfurt(Main)-Gateway Gardens";"RV";"DB Station und Service AG";;"neu";75.6469629268636;"Flughafen Frankfurt Main A602, 60549 Frankfurt, Germany";50.057048;8.595255;"A602";;"Flughafen Frankfurt Main";60549;"Frankfurt am Main";"Frankfurt";"Frankfurt";"Hesse";;"Frankfurt";"Germany";"de";"© OpenAddresses contributors";"BSD-3-Clause License";
8002535;"EOBG";"de:05962:3517";"Halver-Oberbrügge";"RV";"DB Station und Service AG";;"neu";1.7434842781638162;"Halver-Oberbrügge, Bergstraße, 58553 Halver, Germany";51.1918746;7.574099384742283;;"Halver-Oberbrügge";"Bergstraße";58553;;"Oberbrügge";"Märkischer Kreis";"North Rhine-Westphalia";;"Halver";"Germany";"de";"© OpenStreetMap contributors";"Open Database License";"https://www.openstreetmap.org/copyright"
